art;fem;mar;kid5;phd;ment
0;Men;Married;1;3.690000057;16
0;Women;Married;2;1.254999995;0
0;Men;Married;2;4.139999866;12
0;Men;Married;1;2.390000105;5
0;Men;Married;2;3.920000076;2
0;Women;Single;0;2.960000038;4
0;Women;Married;0;2.119999886;2
0;Women;Married;2;2.119999886;1
0;Women;Married;0;2.609999895;3
0;Men;Single;0;4.289999962;0
0;Men;Married;3;2.859999895;7
0;Women;Married;0;2.390000105;0
0;Men;Married;2;3.339999914;1
0;Women;Single;0;3.619999886;8
0;Women;Married;1;3.589999914;8
0;Men;Married;2;4.539999962;1
0;Women;Married;0;3.589999914;1
0;Men;Single;0;4.289999962;9
0;Men;Married;0;1.519999981;4
0;Men;Married;0;4.289999962;6
0;Women;Married;0;4.619999886;5
0;Men;Married;1;4.289999962;13
0;Men;Married;0;2.50999999;3
0;Men;Single;0;2.859999895;3
0;Women;Married;0;2.960000038;8
0;Women;Married;0;3.690000057;3
0;Women;Married;0;3.470000029;2
0;Men;Married;2;4.289999962;15
0;Men;Single;0;4.289999962;0
0;Women;Single;0;3.920000076;1
0;Women;Married;0;2;6
0;Men;Married;0;2.319999933;4
0;Women;Married;1;2;9
0;Men;Married;1;1.679999948;27
0;Men;Single;0;3.470000029;0
0;Men;Married;0;2.200000048;2
0;Men;Married;1;2.119999886;10
0;Women;Single;0;1.399999976;14
0;Women;Single;0;3.359999895;3
0;Men;Married;2;4.289999962;24
0;Men;Married;1;2.099999905;0
0;Men;Single;0;4.289999962;5
0;Women;Single;0;4.289999962;0
0;Women;Single;0;2.829999924;1
0;Men;Married;1;2.579999924;6
0;Women;Married;0;3.150000095;7
0;Men;Single;0;4.289999962;2
0;Men;Single;0;2.960000038;0
0;Men;Married;2;3.589999914;5
0;Women;Single;0;2.390000105;15
0;Women;Single;0;1.25;2
0;Women;Single;0;2.75999999;1
0;Men;Married;0;3.400000095;13
0;Men;Single;0;4.289999962;7
0;Women;Single;0;3.690000057;4
0;Women;Married;0;2.859999895;13
0;Women;Single;0;4.289999962;3
0;Women;Single;0;4.139999866;2
0;Women;Married;0;2.390000105;2
0;Men;Married;2;2.859999895;11
0;Women;Married;0;2.960000038;7
0;Men;Single;0;3.589999914;8
0;Men;Married;1;1.809999943;5
0;Men;Married;1;4.289999962;2
0;Men;Married;1;2.099999905;0
0;Women;Single;0;3.190000057;0
0;Men;Married;2;4.289999962;2
0;Men;Married;0;4.289999962;2
0;Men;Married;2;3.400000095;0
0;Men;Single;0;4.289999962;35
0;Men;Married;2;2.319999933;5
0;Men;Single;0;1.679999948;5
0;Women;Married;0;2.579999924;0
0;Men;Married;0;3.690000057;3
0;Men;Married;2;3.410000086;7
0;Men;Married;0;2.319999933;0
0;Men;Married;1;3.690000057;8
1;Men;Married;0;2.539999962;4
1;Women;Married;1;1.75999999;4
1;Men;Married;1;4.289999962;13
1;Men;Married;3;2.099999905;0
1;Women;Married;1;3.089999914;12
1;Women;Single;0;3.359999895;6
1;Men;Married;0;2.099999905;0
1;Women;Married;1;3.75;7
1;Women;Single;0;2.140000105;6
1;Women;Single;0;4.289999962;22
1;Women;Single;0;2;2
1;Men;Married;0;2;4
1;Men;Married;1;2;16
1;Men;Married;1;2.609999895;6
1;Men;Married;0;4.25;12
1;Men;Single;0;2.359999895;14
1;Women;Married;0;4.289999962;11
1;Men;Married;0;2.099999905;2
1;Women;Married;0;2.869999886;5
1;Women;Married;0;3.470000029;3
1;Men;Married;0;1.779999971;1
1;Men;Married;0;4.139999866;15
1;Men;Married;3;4.289999962;0
1;Men;Single;0;4.289999962;3
1;Men;Single;0;1.809999943;10
1;Women;Single;0;2.319999933;15
1;Women;Married;0;2.609999895;7
1;Men;Married;0;1.679999948;34
1;Women;Married;0;3.190000057;3
1;Men;Married;1;3.589999914;5
1;Men;Married;0;2.5;0
1;Men;Single;0;3.400000095;6
1;Women;Single;0;2.25999999;4
1;Men;Single;0;3.400000095;12
1;Men;Married;1;3.920000076;0
1;Men;Married;2;2.960000038;0
1;Men;Single;0;4.289999962;15
1;Men;Married;0;4.289999962;11
1;Women;Married;1;3.319999933;24
1;Men;Single;0;1.860000014;15
1;Women;Single;0;2.869999886;6
1;Women;Married;0;1.639999986;22
1;Women;Single;0;2.25;7
1;Women;Single;0;2.099999905;8
1;Women;Married;0;4.289999962;6
1;Men;Married;0;1.75;3
1;Men;Married;0;2.960000038;8
1;Women;Single;0;2.25;4
1;Men;Married;2;4.25;20
1;Men;Married;2;2.559999943;22
1;Women;Single;0;3.190000057;11
1;Men;Married;2;3.920000076;2
1;Men;Married;1;1.779999971;77
1;Women;Married;0;3.400000095;14
1;Men;Married;1;1.74000001;4
1;Men;Single;0;4.289999962;6
1;Women;Single;0;2;6
1;Women;Married;0;2.869999886;18
1;Men;Married;0;4.289999962;6
1;Women;Married;0;3.190000057;2
1;Men;Married;1;1.220000029;1
1;Women;Married;2;3.539999962;17
1;Men;Married;1;4.289999962;1
1;Men;Married;1;4.619999886;3
1;Women;Single;0;2;6
1;Women;Single;0;3.589999914;3
1;Women;Single;0;3.190000057;6
1;Men;Married;1;3.400000095;2
1;Women;Married;0;1.279999971;2
1;Men;Married;2;1.74000001;4
1;Men;Married;1;2.25999999;1
1;Women;Married;0;3.589999914;5
1;Men;Married;1;4.619999886;16
1;Women;Single;0;1.399999976;2
1;Women;Single;0;0.920000017;4
1;Men;Married;1;2.390000105;3
1;Men;Married;0;2.25999999;1
1;Men;Married;2;2.859999895;7
1;Men;Married;2;2.75999999;8
1;Men;Married;1;1.629999995;8
1;Men;Married;2;4.289999962;12
1;Women;Single;0;1.399999976;3
1;Women;Married;0;2.119999886;0
1;Women;Married;1;2.609999895;6
1;Men;Married;0;1.799999952;1
1;Women;Married;0;4.289999962;21
1;Women;Single;0;3.690000057;18
1;Women;Married;0;4.619999886;16
1;Men;Single;0;2.150000095;10
1;Men;Married;2;2.099999905;0
1;Women;Married;0;2;5
1;Women;Single;0;1.254999995;0
1;Men;Married;2;1.75;2
1;Women;Single;0;3.849999905;2
1;Men;Single;0;4.25;4
1;Women;Single;0;3.470000029;3
1;Men;Married;1;3.920000076;8
1;Men;Married;2;2.50999999;3
1;Women;Single;0;1.399999976;12
1;Men;Married;1;2;11
1;Women;Single;0;2;10
1;Men;Single;0;4.289999962;2
1;Men;Single;0;3.359999895;10
1;Men;Married;0;4.619999886;1
1;Men;Married;1;2.559999943;16
1;Men;Married;0;4.619999886;18
1;Men;Married;0;3.589999914;10
1;Men;Married;2;4.289999962;6
1;Women;Single;0;3.589999914;8
1;Women;Single;0;4.289999962;6
1;Men;Married;0;3.190000057;3
1;Women;Married;0;3.589999914;1
1;Women;Married;0;2.960000038;19
1;Women;Single;0;2.579999924;2
1;Men;Married;3;2.960000038;6
1;Women;Married;0;4.539999962;13
1;Men;Married;1;4.539999962;10
1;Men;Married;2;2.5;4
1;Men;Married;0;1.679999948;8
1;Men;Married;0;2.319999933;4
1;Women;Married;3;3.190000057;9
1;Women;Single;0;2.210000038;2
1;Women;Married;0;1.25;5
1;Men;Single;0;4.139999866;5
1;Women;Married;0;4.619999886;4
1;Women;Single;0;4.539999962;37
1;Women;Married;0;3.150000095;9
1;Men;Single;0;4.289999962;11
1;Women;Married;0;1.950000048;3
1;Men;Single;0;2;9
1;Women;Married;0;4.539999962;2
1;Women;Married;2;2.579999924;2
1;Women;Married;0;3.849999905;29
1;Men;Married;1;3.410000086;10
1;Women;Married;1;2.25999999;9
1;Women;Single;0;4.25;2
1;Men;Married;1;3.589999914;6
1;Women;Married;1;2.119999886;9
1;Men;Married;0;2.960000038;7
1;Women;Single;0;2.519999981;0
1;Women;Single;0;2.25999999;4
1;Women;Single;0;4.539999962;9
1;Women;Married;2;2.859999895;7
1;Men;Married;0;4.539999962;2
1;Men;Married;0;3.589999914;12
1;Women;Married;0;4.619999886;18
1;Men;Married;3;1.669999957;3
1;Men;Married;2;1.75;1
1;Women;Married;1;2.829999924;5
1;Men;Married;3;3.150000095;11
1;Men;Married;1;3.589999914;9
1;Women;Single;0;3.75;24
1;Women;Single;0;2.049999952;17
1;Men;Married;0;4.289999962;0
1;Men;Married;2;4.289999962;0
1;Women;Married;0;2.390000105;7
1;Men;Married;1;4.539999962;3
1;Men;Married;0;2.319999933;4
1;Women;Single;0;4.289999962;25
1;Men;Married;1;3.690000057;5
1;Men;Single;0;4.289999962;9
1;Men;Single;0;3.920000076;2
1;Men;Married;0;2.75999999;5
1;Men;Single;0;2.75999999;6
1;Men;Married;2;3.619999886;4
1;Men;Married;1;4.289999962;14
1;Men;Single;0;2.869999886;12
1;Women;Married;1;2.390000105;9
1;Men;Single;0;4.289999962;14
1;Men;Married;0;1.779999971;4
1;Men;Married;1;2.099999905;8
1;Women;Married;0;2.25;3
1;Men;Married;1;2.25999999;5
1;Men;Married;0;1.860000014;5
1;Women;Single;0;3.920000076;4
1;Men;Married;0;4.340000153;10
1;Women;Single;0;3.359999895;4
1;Women;Single;0;2.50999999;1
1;Women;Single;0;3.75;21
1;Men;Married;1;4.539999962;45
1;Women;Single;0;1.629999995;8
1;Women;Single;0;4.619999886;10
1;Men;Married;0;1.519999981;2
1;Men;Married;0;2.549999952;11
1;Women;Married;0;1.179999948;1
1;Women;Married;2;3.089999914;9
1;Women;Single;0;4.619999886;5
1;Women;Married;0;2.319999933;1
1;Men;Single;0;2.049999952;3
1;Men;Married;0;4.289999962;1
1;Men;Single;0;3.400000095;2
1;Men;Single;0;4.289999962;10
1;Men;Married;1;3.589999914;2
1;Men;Single;0;3.359999895;5
1;Women;Single;0;2.049999952;13
1;Women;Married;0;3.589999914;32
1;Women;Single;0;3.849999905;18
1;Men;Single;0;3.359999895;0
1;Women;Married;0;1.75;0
1;Women;Married;0;3.470000029;3
1;Men;Married;1;2.609999895;4
1;Men;Single;0;2.75999999;4
1;Men;Married;2;4.289999962;9
1;Women;Single;0;1.399999976;3
1;Women;Married;0;4.619999886;18
1;Men;Married;1;2.859999895;17
1;Men;Married;1;2.859999895;17
1;Men;Married;0;2.859999895;39
1;Men;Single;0;2;7
1;Women;Married;0;1.75999999;8
1;Men;Married;0;2.5;0
1;Women;Single;0;4.289999962;17
1;Men;Single;0;2.559999943;16
1;Women;Married;1;3.539999962;14
1;Women;Married;0;3.690000057;1
1;Men;Single;0;2.869999886;5
1;Women;Single;0;1.654999971;0
1;Men;Married;1;4.340000153;4
1;Men;Married;0;3.539999962;11
1;Men;Married;2;4.289999962;10
1;Men;Married;0;1.809999943;0
1;Women;Single;0;3.400000095;7
1;Men;Married;1;1.809999943;5
1;Women;Single;0;3.190000057;18
1;Women;Married;1;2.319999933;5
1;Women;Single;0;4.539999962;19
1;Men;Married;1;4.289999962;2
1;Men;Married;1;2.859999895;2
1;Women;Married;1;2.859999895;2
1;Men;Married;1;1.220000029;0
1;Men;Married;0;2.099999905;0
1;Men;Married;1;1.679999948;12
1;Women;Single;0;3.359999895;34
1;Women;Married;0;2.869999886;15
1;Men;Married;1;3.470000029;1
1;Men;Single;0;2.75999999;7
1;Men;Married;1;3.539999962;21
1;Women;Married;0;1.950000048;11
1;Men;Married;1;3.589999914;19
1;Women;Single;0;3.190000057;3
1;Women;Single;0;2.75999999;2
1;Women;Married;2;4.289999962;13
1;Men;Married;2;3.190000057;5
1;Men;Married;0;2.960000038;0
1;Men;Married;1;2.75999999;7
1;Women;Married;0;1.809999943;11
2;Men;Married;0;3.359999895;4
2;Men;Single;0;3.089999914;14
2;Women;Single;0;3.75;8
2;Women;Married;0;4.539999962;10
2;Women;Single;0;1.629999995;6
2;Women;Married;0;3.089999914;2
2;Women;Single;0;3.690000057;4
2;Women;Single;0;2.119999886;2
2;Women;Single;0;2.25999999;3
2;Men;Married;1;4.289999962;2
2;Women;Married;1;1.74000001;4
2;Men;Married;2;2.960000038;8
2;Women;Single;0;2.579999924;5
2;Men;Married;1;4.539999962;10
2;Women;Single;0;4.619999886;12
2;Men;Married;1;4.289999962;13
2;Women;Single;0;4.539999962;13
2;Women;Married;0;3.589999914;0
2;Women;Single;0;4.289999962;5
2;Men;Single;0;3.690000057;26
2;Women;Single;0;3.210000038;0
2;Women;Married;1;3.470000029;11
2;Men;Single;0;4.539999962;37
2;Men;Married;0;1.950000048;4
2;Men;Married;2;2.960000038;46
2;Men;Married;1;4.539999962;53
2;Men;Married;0;3.400000095;9
2;Men;Married;0;2.099999905;4
2;Men;Married;2;4.289999962;8
2;Women;Single;0;3.75;5
2;Women;Single;0;2.049999952;2
2;Men;Married;1;2.5;2
2;Women;Married;1;4.619999886;17
2;Women;Married;0;1.799999952;10
2;Women;Single;0;3.089999914;0
2;Men;Single;0;4.289999962;10
2;Men;Married;2;1.799999952;6
2;Women;Married;0;3.589999914;5
2;Men;Married;0;2.75999999;3
2;Men;Married;0;4.139999866;16
2;Men;Single;0;3.589999914;3
2;Women;Single;0;4.539999962;12
2;Women;Married;0;0.920000017;0
2;Women;Single;0;4.289999962;15
2;Men;Married;1;2.390000105;4
2;Men;Married;0;1.179999948;0
2;Men;Married;2;4.539999962;2
2;Women;Married;2;3.849999905;47
2;Men;Married;2;2.960000038;21
2;Women;Married;0;3.359999895;8
2;Women;Married;0;3.190000057;5
2;Women;Married;1;3.690000057;15
2;Men;Married;0;1.629999995;8
2;Men;Married;0;1.720000029;1
2;Women;Married;0;2.579999924;5
2;Men;Married;0;1.519999981;5
2;Men;Single;0;2.859999895;4
2;Women;Married;2;1.220000029;4
2;Women;Single;0;2.539999962;4
2;Women;Single;0;3.359999895;4
2;Men;Married;2;2.869999886;20
2;Men;Married;1;3.150000095;7
2;Women;Single;0;4.619999886;14
2;Men;Married;1;1.75999999;7
2;Men;Married;1;1.519999981;3
2;Men;Single;0;4.289999962;5
2;Men;Married;2;4.289999962;10
2;Men;Married;1;2.559999943;5
2;Men;Single;0;4.539999962;29
2;Women;Married;0;1.860000014;5
2;Women;Single;0;4.289999962;1
2;Women;Married;0;3.920000076;7
2;Men;Single;0;2.25999999;2
2;Men;Married;1;4.289999962;14
2;Women;Married;1;3.690000057;10
2;Men;Married;2;1.970000029;0
2;Men;Married;1;3.190000057;10
2;Women;Single;0;4.539999962;5
2;Men;Single;0;4.289999962;25
2;Men;Married;0;2.829999924;1
2;Men;Married;3;4.340000153;7
2;Women;Single;0;3.359999895;3
2;Women;Single;0;3.410000086;14
2;Women;Single;0;2.859999895;3
2;Men;Married;0;4.289999962;24
2;Men;Married;1;2.75999999;8
2;Women;Married;0;3.75;0
2;Men;Married;1;4.289999962;12
2;Men;Married;2;2.210000038;12
2;Men;Married;0;3.539999962;21
2;Men;Married;0;2.960000038;2
2;Women;Married;0;2.119999886;2
2;Men;Single;0;2.390000105;4
2;Women;Single;0;3.190000057;5
2;Women;Single;0;1.970000029;8
2;Women;Married;0;4.539999962;9
2;Women;Single;0;2.549999952;36
2;Men;Married;0;1.75999999;0
2;Men;Married;2;4.340000153;17
2;Women;Married;0;2.519999981;16
2;Men;Married;1;2.559999943;7
2;Men;Single;0;4.539999962;10
2;Women;Married;0;1.399999976;0
2;Men;Married;2;3.319999933;27
2;Men;Married;0;2.50999999;5
2;Women;Married;2;2.579999924;3
2;Men;Married;2;3.539999962;16
2;Men;Married;0;4.539999962;11
2;Men;Single;0;4.289999962;17
2;Men;Married;0;4.340000153;5
2;Women;Married;1;3.470000029;4
2;Women;Single;0;3.470000029;5
2;Men;Married;2;2.5;5
2;Men;Married;3;2;8
2;Men;Single;0;3.920000076;10
2;Women;Married;0;4.619999886;23
2;Women;Single;0;3.089999914;6
2;Women;Single;0;2.319999933;4
2;Women;Single;0;4.289999962;21
2;Women;Single;0;3.359999895;7
2;Men;Married;0;3.690000057;5
2;Men;Married;0;4.289999962;17
2;Women;Single;0;3.589999914;11
2;Men;Married;0;4.289999962;13
2;Women;Married;1;3.210000038;7
2;Women;Single;0;2.25999999;8
2;Men;Married;0;2.5;0
2;Men;Single;0;2.25999999;3
2;Women;Married;0;3.75;4
2;Women;Single;0;4.289999962;4
2;Men;Married;0;3.190000057;11
2;Women;Married;1;2;7
2;Women;Married;0;3.089999914;1
2;Women;Married;1;3.589999914;2
2;Women;Married;0;4.340000153;11
2;Women;Single;0;2.869999886;9
2;Men;Married;0;2.099999905;2
2;Women;Single;0;2.829999924;26
2;Men;Married;1;2.099999905;3
2;Men;Married;1;1.779999971;1
2;Men;Married;0;2.50999999;0
2;Men;Married;1;2.519999981;10
2;Women;Married;1;3.400000095;4
2;Women;Married;1;3.089999914;3
2;Men;Married;0;4.289999962;13
2;Women;Married;0;2.960000038;8
2;Women;Married;2;3.589999914;11
2;Men;Single;0;4.539999962;55
2;Women;Married;0;3.589999914;11
2;Men;Married;1;3.420000076;3
2;Women;Married;1;4.289999962;4
2;Women;Single;0;3.190000057;4
2;Women;Married;1;4.289999962;11
2;Men;Married;0;4.619999886;3
2;Men;Married;2;1.860000014;6
2;Men;Married;0;4.619999886;8
2;Women;Married;2;4.539999962;48
2;Women;Married;0;3.75;8
2;Men;Married;0;1.75999999;0
2;Women;Married;0;3.410000086;31
2;Men;Married;0;2.549999952;24
2;Men;Married;1;1.25;2
2;Women;Married;0;1.480000019;9
2;Women;Married;0;2.829999924;3
2;Women;Married;0;4.289999962;6
2;Women;Single;0;3.190000057;10
2;Women;Single;0;1.399999976;0
2;Women;Married;2;3.210000038;2
2;Men;Single;0;4.619999886;9
2;Women;Married;0;1.450000048;7
2;Women;Married;1;3.339999914;4
2;Women;Single;0;4.539999962;23
2;Men;Married;2;4.289999962;30
2;Women;Single;0;3.690000057;7
2;Women;Single;0;2.579999924;2
2;Women;Married;1;4.539999962;7
2;Men;Married;1;4.539999962;6
2;Men;Single;0;4.289999962;9
3;Women;Single;0;4.289999962;12
3;Women;Single;0;3.75;0
3;Men;Single;0;4.619999886;8
3;Men;Married;2;4.539999962;31
3;Men;Married;0;3.089999914;5
3;Men;Married;1;1.950000048;14
3;Women;Married;1;3.589999914;3
3;Men;Married;1;2.609999895;5
3;Men;Single;0;2.869999886;12
3;Men;Single;0;4.289999962;30
3;Women;Married;0;3.410000086;19
3;Women;Married;1;2.319999933;5
3;Women;Married;0;2.119999886;3
3;Men;Married;0;4.539999962;37
3;Men;Married;0;2.960000038;8
3;Men;Single;0;2.869999886;12
3;Men;Married;0;2.319999933;4
3;Men;Married;2;1.799999952;6
3;Women;Single;0;2.390000105;11
3;Women;Married;1;4.619999886;14
3;Women;Single;0;4.289999962;10
3;Men;Married;0;4.539999962;5
3;Men;Single;0;3.589999914;16
3;Men;Married;2;4.289999962;0
3;Men;Married;1;2.960000038;5
3;Men;Married;2;4.289999962;25
3;Men;Married;1;4.289999962;18
3;Men;Married;1;2.539999962;6
3;Men;Single;0;3.920000076;0
3;Men;Single;0;2.319999933;8
3;Women;Single;0;4.619999886;22
3;Women;Married;0;3.75;6
3;Men;Married;2;1.950000048;3
3;Men;Married;1;1.799999952;4
3;Men;Married;0;2.75999999;8
3;Men;Single;0;3.589999914;7
3;Men;Married;0;4.25;20
3;Men;Married;2;2.829999924;7
3;Women;Single;0;2.519999981;4
3;Women;Married;0;1.179999948;0
3;Women;Married;0;3.359999895;11
3;Women;Married;0;4.289999962;21
3;Women;Married;1;4.619999886;49
3;Men;Single;0;2.829999924;8
3;Men;Married;0;3.690000057;24
3;Men;Married;0;2.25999999;12
3;Women;Single;0;2.049999952;5
3;Men;Married;1;4.289999962;19
3;Men;Married;0;1.419999957;3
3;Women;Married;2;1.889999986;16
3;Men;Married;0;3.690000057;26
3;Women;Married;0;2.960000038;22
3;Women;Married;1;1.860000014;1
3;Women;Married;0;2.25999999;6
3;Men;Married;0;4.289999962;15
3;Women;Married;0;3.150000095;4
3;Men;Married;0;2.609999895;0
3;Women;Single;0;4.539999962;3
3;Men;Married;1;2.210000038;10
3;Men;Married;0;1.779999971;0
3;Men;Married;1;3.619999886;5
3;Men;Married;0;3.920000076;0
3;Women;Married;0;4.619999886;10
3;Men;Married;0;2.609999895;5
3;Women;Married;1;3.359999895;3
3;Women;Married;0;3.690000057;12
3;Men;Married;0;3.470000029;14
3;Men;Married;0;1.25;4
3;Men;Married;0;4.619999886;18
3;Men;Married;1;3.589999914;14
3;Women;Single;0;3.359999895;2
3;Men;Married;0;4.289999962;38
3;Men;Single;0;3.539999962;12
3;Men;Married;2;2.579999924;2
3;Men;Single;0;1.519999981;3
3;Men;Married;0;3.470000029;8
3;Women;Married;0;4.619999886;14
3;Men;Single;0;3.539999962;25
3;Men;Married;2;2.099999905;4
3;Men;Married;2;1.379999995;8
3;Men;Married;1;3.089999914;5
3;Men;Married;3;2.859999895;3
3;Women;Single;0;4.289999962;5
3;Women;Married;1;1.220000029;3
4;Men;Married;0;2.829999924;5
4;Women;Married;0;4.539999962;16
